x,y
0.5448939955558849,0.8657590137835198
2.636929615406082,1.817510352205845
2.6305875738569746,1.785327239165719
1.1075793405593837,1.0493094927831783
1.1914428616061414,1.1098119122912957
2.724076219734562,1.6589721324910056
1.35749562031915,1.2340678561847331
1.4602985469839198,1.52131192703686
1.7323486844601796,1.5134078460553246
1.8323145184010654,1.5550118540887317
3.298176814828544,2.0829734895009544
2.6456400811870893,1.7563926747833045
3.8966410544515075,2.085724838546217
3.7715709248728326,2.0429853962361593
2.498465144311428,1.7118700577944803
2.634435117249794,1.803985811647196
0.08809395901262862,0.07428331630181412
1.2810641824369178,1.066373392425624
1.9937851377735374,1.586361511567601
1.4167046578894809,1.4511468979331317
